"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Huttwil_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2.162911	0.419558052631579	-0.00580467921188808	0.425362731843467
"Huttwil_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2.181298	0.411589388888889	0.0212162938820685	0.39037309500682
"Huttwil_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21916	0.498004823529412	0.113332277628041	0.384672545901371
"Huttwil_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.106991	0.3264018125	0.0338257087194605	0.292576103780539
"Huttwil_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.182728	0.405045266666667	0.0271104595414862	0.377934807125181
"Huttwil_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.149803	0.461666714285714	0.156380327400727	0.305286386884987
"Huttwil_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.159526	0.416400153846154	0.101529998017591	0.314870155828563
"Huttwil_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.942875	1.06176505263158	0.404803619880281	0.656961432751298
"Huttwil_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.954576	1.15889405555556	0.504486591499643	0.654407464055913
"Huttwil_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.839188	1.02169411764706	0.450837836002627	0.570856281644432
"Huttwil_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.890318	1.02006025	0.427532616293828	0.592527633706173
"Huttwil_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.812159	1.01930626666667	0.50111395975635	0.518192306910317
"Huttwil_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.826008	1.03539335714286	0.550097766619755	0.485295590523103
"Huttwil_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2.864308	0.995200769230769	0.452822609174961	0.542378160055808
"Huttwil_random_1_12"	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.864309	1.10592568421053	0.609855681913086	0.49607000229744
"Huttwil_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.943715	1.13710872222222	0.555104154394071	0.582004567828151
"Huttwil_random_1_14"	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.916294	1.00394647058824	0.42949074727044	0.574455723317795
"Huttwil_random_1_15"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.851485	0.8737799375	0.318334579080723	0.555445358419277
"Huttwil_random_1_16"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.304445	0.397810533333334	-0.070105489404842	0.467916022738176
"Huttwil_random_1_17"	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.29053	0.349484428571429	-0.0663043651847146	0.415788793756143
"Huttwil_random_1_18"	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.402124	0.386634307692308	-0.119970104190658	0.506604411882965
"Huttwil_random_2_12"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	2.652801	1.07940752631579	0.668662129994872	0.410745396320917
"Huttwil_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.647956	1.01453111111111	0.565651487532061	0.44887962357905
"Huttwil_random_2_14"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.61772	1.05155194117647	0.633430952505343	0.418120988671128
"Huttwil_random_2_15"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.666862	1.050946625	0.604475294355657	0.446471330644343
"Huttwil_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.60239	0.936522066666667	0.521555557184939	0.414966509481728
"Huttwil_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.681429	0.897213714285714	0.37219712855179	0.525016585733924
"Huttwil_random_2_18"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	2.044052	0.356725076923077	0.0261129234219751	0.330612153501102
"Huttwil_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	3.405607	1.42803489473684	0.608666790631447	0.819368104105395
"Huttwil_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	3.467198	1.46409133333333	0.649481762382537	0.814609570950796
"Huttwil_random_3_14"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	3.348016	1.43022458823529	0.632640648376364	0.79758393985893
"Huttwil_random_3_15"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2.309653	0.462234875	-0.27163213734802	0.73386701234802
"Huttwil_random_3_16"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	2.43226	0.634688466666667	-0.0875886327429159	0.722277099409583
"Huttwil_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	2.148234	0.362471285714286	-0.398369282547424	0.760840568261709
"Huttwil_random_3_18"	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	2.097829	0.365529615384615	-0.389209081253939	0.754738696638554
"Huttwil_random_4_12"	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	2.432314	0.571716473684211	0.231571356643544	0.340145117040667
"Huttwil_random_4_13"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	2.467079	0.588542888888889	0.224782665740262	0.363760223148627
"Huttwil_random_4_14"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	2.372352	0.428620294117647	0.106746153987731	0.321874140129916
